Designator,Mid X,Mid Y,Layer,Rotation
"C1","205.4121mm","-83.9658mm","Top",270
"C2","171.2408mm","-81.078mm","Top",0
"C3","173.5408mm","-81.853mm","Top",270
"C4","178.8063mm","-89.5465mm","Top",180
"C5","178.4271mm","-133.9399mm","Top",180
"C6","214.0117mm","-134.1109mm","Top",0
"C7","211.6657mm","-133.2522mm","Top",90
"C8","204.2461mm","-144.1109mm","Top",180
"C9","129.3781mm","-112.5875mm","Top",270
"C10","101.6592mm","-112.5879mm","Top",270
"C11","70.6242mm","-112.5569mm","Top",270
"C12","42.8748mm","-112.5569mm","Top",270
"LED1","132.9336mm","-104.0759mm","Top",315
"LED2","129.5453mm","-104.0759mm","Top",315
"LED3","126.157mm","-104.0759mm","Top",315
"LED4","122.7687mm","-104.0759mm","Top",315
"LED5","119.3804mm","-104.0759mm","Top",315
"LED6","115.992mm","-104.0759mm","Top",315
"LED7","112.6037mm","-104.0759mm","Top",315
"LED8","109.2154mm","-104.0759mm","Top",315
"LED9","105.8271mm","-104.0759mm","Top",315
"LED10","102.163mm","-104.0759mm","Top",315
"LED11","98.4989mm","-104.0759mm","Top",315
"LED12","94.8349mm","-104.0759mm","Top",315
"LED13","91.1708mm","-104.0759mm","Top",315
"LED14","87.5067mm","-104.0759mm","Top",315
"LED15","83.8426mm","-104.0759mm","Top",315
"LED16","80.1785mm","-104.0759mm","Top",315
"LED17","76.5144mm","-104.0759mm","Top",315
"LED18","72.8504mm","-104.0759mm","Top",315
"LED19","69.1863mm","-104.0759mm","Top",315
"LED20","65.5222mm","-104.0759mm","Top",315
"LED21","61.8581mm","-104.0759mm","Top",315
"LED22","58.194mm","-104.0759mm","Top",315
"LED23","54.5299mm","-104.0759mm","Top",315
"LED24","50.8659mm","-104.0759mm","Top",315
"LED25","47.2018mm","-104.0759mm","Top",315
"LED26","43.5377mm","-104.0759mm","Top",315
"LED27","39.8736mm","-104.0759mm","Top",315
"LED28","36.2095mm","-104.0759mm","Top",315
"LED29","32.5454mm","-104.0759mm","Top",315
"LED30","28.8814mm","-104.0759mm","Top",315
"LED31","25.2173mm","-104.0759mm","Top",315
"LED32","21.5532mm","-104.0759mm","Top",315
"R1","204.5871mm","-86.7408mm","Top",0
"R2","168.9408mm","-81.8495mm","Top",90
"R3","178.8563mm","-86.7408mm","Top",0
"R4","178.8564mm","-76.7408mm","Top",0
"R5","178.4771mm","-130.1109mm","Top",180
"R6","216.2657mm","-133.2859mm","Top",270
"R7","204.1961mm","-130.1109mm","Top",180
"R8","204.1961mm","-140.1109mm","Top",0
"R9","133.0132mm","-106.7434mm","Top",135
"R10","129.6249mm","-106.7434mm","Top",135
"R11","126.2366mm","-106.7434mm","Top",135
"R12","122.8483mm","-106.7434mm","Top",135
"R13","119.46mm","-106.7434mm","Top",135
"R14","116.0716mm","-106.7434mm","Top",135
"R15","112.6833mm","-106.7434mm","Top",135
"R16","109.295mm","-106.7434mm","Top",135
"R17","105.9067mm","-106.7434mm","Top",135
"R18","102.2426mm","-106.7434mm","Top",135
"R19","98.5785mm","-106.7434mm","Top",135
"R20","94.9145mm","-106.7434mm","Top",135
"R21","91.2504mm","-106.7434mm","Top",135
"R22","87.5863mm","-106.7434mm","Top",135
"R23","83.9222mm","-106.7434mm","Top",135
"R24","80.2581mm","-106.7434mm","Top",135
"R25","76.594mm","-106.7434mm","Top",135
"R26","72.93mm","-106.7434mm","Top",135
"R27","69.2659mm","-106.7434mm","Top",135
"R28","65.6018mm","-106.7434mm","Top",135
"R29","61.9377mm","-106.7434mm","Top",135
"R30","58.2736mm","-106.7434mm","Top",135
"R31","54.6095mm","-106.7434mm","Top",135
"R32","50.9455mm","-106.7434mm","Top",135
"R33","47.2814mm","-106.7434mm","Top",135
"R34","43.6173mm","-106.7434mm","Top",135
"R35","39.9532mm","-106.7434mm","Top",135
"R36","36.2891mm","-106.7434mm","Top",135
"R37","32.625mm","-106.7434mm","Top",135
"R38","28.961mm","-106.7434mm","Top",135
"R39","25.2969mm","-106.7434mm","Top",135
"R40","21.6328mm","-106.7434mm","Top",135
"U1","171.2408mm","-74.5063mm","Top",90
"U2","192.0535mm","-80.4908mm","Top",0
"U3","192.0535mm","-136.3609mm","Top",180
"U4","213.9657mm","-141.2609mm","Top",270
"U5","122.982mm","-112.7254mm","Top",270
"U6","94.3311mm","-112.7254mm","Top",270
"U7","64.2243mm","-112.7254mm","Top",270
"U8","36.3407mm","-112.7254mm","Top",270
