Designator,Mid X,Mid Y,Layer,Rotation
"C1","204.6371mm","-89.5465mm","Top",0
"C2","171.2408mm","-81.078mm","Top",0
"C3","173.5408mm","-81.853mm","Top",270
"C4","178.8063mm","-89.5465mm","Top",180
"C5","272.7855mm","-247.7974mm","Top",0
"C6","260.8208mm","-183.9205mm","Top",0
"C7","304.0249mm","-200.8813mm","Top",0
"C8","302.7705mm","-210.1719mm","Top",0
"C9","146.4312mm","-268.3134mm","Top",0
"C10","208.1829mm","-193.1733mm","Top",0
"LED1","215.3282mm","-188.8283mm","Top",0
"LED2","231.9771mm","-147.7781mm","Top",0
"LED3","247.2611mm","-200.4477mm","Top",0
"LED4","224.3433mm","-162.3409mm","Top",0
"LED5","217.9424mm","-214.1259mm","Top",0
"LED6","251.7093mm","-200.4477mm","Top",0
"LED7","231.0908mm","-179.2053mm","Top",0
"LED8","226.0662mm","-272.2006mm","Top",0
"LED9","258.337mm","-206.3597mm","Top",0
"LED10","211.7mm","-254.3725mm","Top",0
"LED11","249.2996mm","-241.861mm","Top",0
"LED12","236.2893mm","-219.8742mm","Top",0
"LED13","229.2158mm","-273.9097mm","Top",0
"LED14","229.4732mm","-328.2706mm","Top",0
"LED15","270.2751mm","-187.6036mm","Top",0
"LED16","231.0592mm","-182.0073mm","Top",0
"R1","204.5871mm","-86.7408mm","Top",0
"R2","168.9408mm","-81.8495mm","Top",90
"R3","178.8563mm","-86.7408mm","Top",0
"R4","178.8564mm","-76.7408mm","Top",0
"R5","296.3791mm","-256.6678mm","Top",0
"R6","268.8043mm","-208.9827mm","Top",0
"R7","275.4701mm","-212.622mm","Top",0
"R8","280.8194mm","-219.6308mm","Top",0
"R9","155.4139mm","-259.3322mm","Top",0
"R10","197.1914mm","-188.8283mm","Top",0
"R11","199.3532mm","-227.1217mm","Top",0
"R12","191.4326mm","-255.8241mm","Top",0
"R13","189.4657mm","-281.6141mm","Top",0
"R14","178.1804mm","-310.26mm","Top",0
"R15","165.6331mm","-240.6823mm","Top",0
"R16","153.4417mm","-263.5194mm","Top",0
"R17","315.2268mm","-242.3357mm","Top",0
"R18","239.6597mm","-194.7138mm","Top",0
"R19","226.5339mm","-211.9507mm","Top",0
"R20","318.1454mm","-246.5635mm","Top",0
"R21","295.1261mm","-212.4284mm","Top",0
"R22","223.7374mm","-172.5223mm","Top",0
"R23","233.3245mm","-259.3322mm","Top",0
"R24","192.5881mm","-307.2003mm","Top",0
"U1","171.2408mm","-74.5063mm","Top",90
"U2","192.0535mm","-80.4908mm","Top",0
"U3","330.8849mm","-223.6242mm","Top",0
"U4","297.835mm","-221.4323mm","Top",0
"U5","257.3572mm","-192.3121mm","Top",0
"U6","332.5969mm","-256.9928mm","Top",0
